Maturity,Time (Years),Spot Price (₹),Forward Price (₹),Difference (₹),Difference (%)
1 Month,0.08333333333333333,1020.0,1024.4295905146282,4.429590514628217,0.43427357986551146
3 Months,0.25,1020.0,1033.3465647070054,13.346564707005427,1.3084867359809242
6 Months,0.5,1020.0,1046.867767442911,26.867767442910917,2.634094847344208
9 Months,0.75,1020.0,1060.565893323161,40.565893323160935,3.9770483650157775
1 Year,1.0,1020.0,1074.443257363632,54.44325736363203,5.3375742513364735
1.5 Years,1.5,1020.0,1102.7451118434847,82.74511184348466,8.1122658670083
2 Years,2.0,1020.0,1131.792464013894,111.792464013894,10.960045491558237
3 Years,3.0,1020.0,1192.2027271516665,172.20272715166652,16.882620308986915
